TECHNOLOGY			 TECHNOLOGY 
TECHNOLOGIES			 TECHNOLOGIES 
Technologies & Sciences			 Technologies & Sciences 
BETWEEN		 BETWEEN 	
BTWN		 BTWN 	
THE		 THE 	
AND		 AND 	
NO 		 NO  	
NOR		 NOR 	
NORTH		 NORTH 	
SO 		 SO  	
SOUTH		S	 SOUTH 
SOUTN		S	 SOUTN 
EAST		E	 EAST 
WE		W	 WE 
WEST		W	 WEST 
WST		W	 WST 
N E		NE	 N E 
NORTH EAST		NE	 NORTH EAST 
NORTHEAST		NE	 NORTHEAST 
N W		NW	 N W 
NORTH WEST		NW	 NORTH WEST 
NORTHWEST		NW	 NORTHWEST 
S E		SE	 S E 
SOUTH EAST		SE	 SOUTH EAST 
SOUTHEAST		SE	 SOUTHEAST 
S W		SW	 S W 
SOUTH WEST		SW	 SOUTH WEST 
SOUTHWEST		SW	 SOUTHWEST 
AIRPORT		ARPT	 AIRPORT 
			
COUNTY		CNTY	 COUNTY 
CENTERS		CTR	 CENTERS 
PARTNERS			
CENTRES		CTR	 CENTRES 
CENTER		CTR	 CENTER 
CENT ER		CTR	 CENT ER 
CNTRS		CTR	 CNTRS 
CNTR		CTR	 CNTR 
GALLERY		GALR	 GALLERY 
FIELDS		FLD	 FIELDS 
FIELD		FLD	 FIELD 
FLDS		FLD	 FLDS 
FORTS		FT	 FORTS 
FORT		FT	 FORT 
HARBOR		HBR	 HARBOR 
			
			
			
			
HOSPITAL		HOSP	 HOSPITAL 
INT L		INTL	 INT L 
INTERNETWORKING			
INTERNATIONAL		INTL	 INTERNATIONAL 
INTERNATL		INTL	 INTERNATL 
I NTERNATL		INTL	 I NTERNATL 
INDUSTRIES		IND	 INDUSTRIES 
INDS		IND	 INDS 
INDUSTRIAL		IND	 INDUSTRIAL 
INDL		IND	 INDL 
LDG		LDGE	 LDG 
LODGE		LDGE	 LODGE 
MEADOWS		MDWS	 MEADOWS 
MNT		MT	 MNT 
MOUNTAINS		MT	 MOUNT 
MOUNTAIN		MTN	 MOUNTAIN 
MOUNT		MTN	 MOUNTAINS 
MTNS		MTN	 MTNS 
NATIONAL		NATL	 NATIONAL 
NAITONAL		NATL	 NAITONAL 
NATINAL		NATL	 NATINAL 
PLAZA		PLZ	 PLAZA 
PLZA		PLZ	 PLZA 
PROFESSIONAL		PROF	 PROFESSIONAL 
REGIONAL		REG	 REGIONAL 
RIVER		RIV	 RIVER 
SAINTE		ST	 SAINT 
SAINT		ST	 SAINTE 
SERVICES		SVC	 SERVICES 
SERVICE		SVC	 SERVICE 
SER VICES		SVC	 SER VICES 
SERV		SVC	 SERV 
SVCS		SVC	 SVCS 
SHOPPING MALL		MALL	 SHOPPING MALL 
SHOP MALL		MALL	 SHOP MALL 
UNIVERSITY		UNIV	 UNIVERSITY 
ADMINISTRATORS		ADMIN	 ADMINISTRATORS 
ADMINISTRATOR		ADMIN	 ADMINISTRATOR 
ADMINISTRATION		ADMIN	 ADMINISTRATION 
ADMINISTRATIVE		ADMIN	 ADMINISTRATIVE 
BROTHERS		BROS	 BROTHERS 
CREDIT UNION		CU	 CREDIT UNION 
CR UN		CU	 CR UN 
CHEMICALS		CHEM	 CHEMICAL 
CHEMICAL		CHEM	 CHEMICALS 
DEPARTMENT		DEPT	 DEPARTMENT 
DOTCOMS		DOTCOM	 DOTCOMS 
DOT COM		DOTCOM	 DOT COM 
ELECTRICS		ELEC	 ELEC 
ELECTRIC		ELEC	 ELECTRIC 
ELECTRONIC		ELEC	 ELECTRICS 
ELECTRONICS		ELEC	 ELECTRONIC 
ELEC		ELEC	 ELECTRONICS 
ENGINEERS		ENGR	 ENGINEERS 
ENGINEERING		ENGR	 ENGINEERING 
ENGINEER		ENGR	 ENGINEER 
ENTERPRISES		ENT	 ENTERPRISE 
ENTRPRSE		ENT	 ENTERP 
ENTERPRISE		ENT	 ENTERPRISES 
ENTERPRIZES		ENT	 ENTERPRIZES 
ENTERPRS		ENT	 ENTERPRS 
ENTRPSE		ENT	 ENTPR 
ENTERP		ENT	 ENTR 
ENTPR		ENT	 ENTRPRSE 
ENTR		ENT	 ENTRPSE 
FEDERAL CREDIT UNION		FCU	 FEDERAL CREDIT UNION 
FEDERAL CREDIT UN		FCU	 FEDERAL CREDIT UN 
FEDERAL CR UN		FCU	 FEDERAL CR UN 
FEDERAL CU		FCU	 FEDERAL CU 
FED CR UN		FCU	 FED CR UN 
FED CU		FCU	 FED CU 
GROUP		GRP	 GROUP 
INSURANCE		INS	 INSURANCE 
LABORATORIES		LAB	 LABORATORIES 
LABS		LAB	 LABS 
MANUFACTURING		MFG	 MANUFACTURING 
MANUFACTURI		MFG	 MANUFACTURI 
MANAGEMENT		MGT	 MANAGEMENT 
MANAGMENT		MGT	 MANAGMENT 
MGMNT		MGT	 MGMNT 
MGMT		MGT	 MGMT 
PRODUCTS		PROD	 PRODUCTS 
PRODS		PROD	 PRODS 
SYSTEMS		SYS	 SYSTEMS 
SYSTEM		SYS	 SYSTEM 
ASSC		ASSC	 ASSC 
ASSO		ASSC	 ASSO 
ASSN		ASSC	 ASSN 
ASSOC		ASSC	 ASSOC 
ASSOCATES		ASSC	 ASSOCATES 
ASSICATES		ASSC	 ASSICATES 
ASSOCIA		ASSC	 ASSOCIA 
ASSOCIATES		ASSC	 ASSOCIATES 
ASSOCIATION		ASSC	 ASSOCIATION 
A SOLE PROPRIETOR		ASP	 A SOLE PROPRIETOR 
A SOLE PROPRIETORSHIP 		ASP	 A SOLE PROPRIETORSHIP  
